timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-18 14:37:56,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,4.47,5.28,23.29,5.87,2.36,218.77,1.56,30.24,65.0,1006.0,2.13,179.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:55,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,5.65,6.42,37.3,2.18,0.56,149.99,0.99,29.54,71.0,1006.0,1.36,270.0,10000.0,Rain,openweathermap,
2025-06-18 14:37:54,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,1,5.34,6.07,31.03,3.19,0.71,183.95,1.21,28.6,70.0,1006.0,1.93,245.0,10000.0,Rain,openweathermap,
2025-06-18 14:37:52,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,13.49,15.56,18.22,7.75,3.1,482.33,3.18,31.53,72.0,1006.0,1.03,0.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:51,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,2.38,3.0,35.38,0.16,0.1,81.15,0.0,30.75,74.0,1007.0,5.66,280.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:50,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,1.16,1.79,32.22,0.13,0.05,77.36,0.0,30.87,67.0,1006.0,6.12,242.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:49,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,0.59,0.87,29.01,0.12,0.04,73.21,0.0,31.75,63.0,1006.0,1.63,278.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:47,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,1.95,2.7,32.66,0.21,0.06,94.15,0.0,29.32,71.0,1007.0,3.73,279.0,10000.0,Rain,openweathermap,
2025-06-18 14:37:46,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,1.79,2.79,32.32,0.2,0.05,88.55,0.05,29.68,72.0,1007.0,5.89,268.0,10000.0,Clouds,openweathermap,
2025-06-18 14:37:45,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,2.19,3.14,33.87,0.56,0.17,93.71,0.25,29.64,76.0,1006.0,3.17,281.0,10000.0,Clouds,openweathermap,
