timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-16 11:01:52,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,2,16.14,18.83,16.86,15.1,5.25,560.3,2.67,33.25,66.0,1008.0,0.89,298.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:51,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,2,12.54,16.03,37.33,8.63,1.88,433.02,3.09,33.91,57.0,1008.0,2.41,286.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:49,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,2,14.91,17.74,32.06,9.62,1.68,505.03,2.45,33.51,59.0,1009.0,2.4,285.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:48,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,22.29,25.26,22.59,15.42,3.61,689.39,2.61,32.64,68.0,1008.0,3.6,350.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:47,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,4.38,4.98,44.72,0.27,0.1,135.86,0.04,30.75,79.0,1010.0,4.63,290.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:45,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,4.14,4.58,47.98,0.25,0.06,143.84,0.02,31.18,68.0,1009.0,5.15,272.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:44,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,3.17,3.39,47.16,0.27,0.11,137.1,0.03,33.83,51.0,1009.0,3.2,289.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:43,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,3.42,3.83,52.63,0.37,0.1,145.23,0.0,32.93,57.0,1009.0,3.97,278.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:42,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,3.81,4.56,52.25,0.68,0.21,159.1,0.43,32.53,58.0,1009.0,3.78,278.0,10000.0,Clouds,openweathermap,
2025-06-16 11:01:40,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,3.95,4.98,48.41,1.51,0.42,175.03,0.74,33.19,57.0,1009.0,4.27,290.0,10000.0,Clouds,openweathermap,
