timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-19 18:30:43,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,3,35.81,43.25,6.51,14.27,7.46,1175.81,9.18,31.03,74.0,1007.0,2.05,37.0,10000.0,Rain,openweathermap,
2025-06-19 18:30:41,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,8.85,11.16,22.05,7.87,1.41,336.41,2.17,26.35,92.0,1007.0,1.75,232.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:40,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,2,19.63,23.42,12.06,13.74,2.75,648.99,4.45,27.72,85.0,1007.0,2.7,216.0,10000.0,Rain,openweathermap,
2025-06-19 18:30:38,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,3,36.07,42.34,0.52,21.66,6.23,1124.97,8.19,25.83,94.0,1007.0,5.66,20.0,5000.0,Thunderstorm,openweathermap,
2025-06-19 18:30:37,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,0.86,1.66,30.92,0.37,0.11,76.87,0.0,28.75,84.0,1008.0,3.6,290.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:36,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,0.72,1.49,30.9,0.3,0.05,75.76,0.0,28.53,78.0,1007.0,7.68,259.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:34,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,0.5,1.0,29.26,0.26,0.06,72.46,0.0,28.12,75.0,1007.0,3.5,196.0,10000.0,Rain,openweathermap,
2025-06-19 18:30:33,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,2.61,3.49,36.84,0.28,0.09,85.19,0.02,27.28,83.0,1008.0,1.86,256.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:31,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,2.33,3.35,35.85,0.33,0.06,86.28,0.06,28.9,76.0,1008.0,4.31,270.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:30,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,2.43,3.73,33.6,1.16,0.24,101.55,0.36,28.1,80.0,1008.0,2.92,273.0,10000.0,Clouds,openweathermap,
2025-06-19 18:30:29,Tra Vinh,Tra Vinh,Tra Vinh (openweathermap),9.9514,106.3431,1,2.46,3.88,32.44,2.38,0.42,117.43,0.63,26.85,88.0,1007.0,2.36,247.0,10000.0,Clouds,openweathermap,
