timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-15 16:01:33,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,5.65,6.78,40.31,5.49,2.26,266.31,1.8,26.14,48.0,1005.0,2.12,291.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:32,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,8.06,11.11,47.24,4.32,1.13,257.12,2.27,31.1,64.0,1005.0,2.2,257.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:31,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,2,11.12,13.89,38.67,7.62,1.71,372.21,3.45,31.94,62.0,1005.0,2.58,236.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:30,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,21.68,25.25,23.66,14.93,4.01,711.36,6.75,33.75,65.0,1005.0,4.63,260.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:28,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,6.59,9.21,59.77,0.28,0.17,151.78,0.0,31.75,70.0,1007.0,5.66,230.0,9000.0,Clouds,openweathermap,
2025-06-15 16:01:27,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,5.39,8.17,59.6,0.2,0.1,146.52,0.0,30.44,69.0,1006.0,7.02,237.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:26,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,4.37,6.62,55.82,0.16,0.07,136.5,0.0,32.52,59.0,1005.0,5.59,237.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:24,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,2.87,5.6,46.85,0.18,0.13,103.5,0.0,32.45,55.0,1006.0,4.12,278.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:23,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,2.49,5.15,48.23,0.23,0.1,109.16,0.07,30.09,72.0,1006.0,4.96,189.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:22,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,3.14,5.56,49.36,0.77,0.23,130.42,0.38,30.97,68.0,1006.0,2.31,217.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:21,Tra Vinh,Tra Vinh,Tra Vinh (openweathermap),9.9514,106.3431,1,6.16,9.46,52.07,2.15,0.69,182.92,1.29,31.74,66.0,1005.0,2.18,273.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:19,Vinh Long,Vinh Long,Vinh Long (openweathermap),10.2397,105.9722,1,4.43,6.18,47.52,2.31,0.56,185.46,1.18,30.84,68.0,1006.0,4.37,258.0,10000.0,Rain,openweathermap,
2025-06-15 16:01:18,Sa Dec,Dong Thap,Sa Dec (openweathermap),10.2922,105.7592,1,2.62,3.71,47.66,1.31,0.27,149.82,0.64,31.97,66.0,1006.0,5.37,247.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:17,Cao Lanh,Dong Thap,Cao Lanh (openweathermap),10.4592,105.6325,1,3.0,4.07,47.88,1.46,0.31,161.75,0.78,31.19,65.0,1005.0,5.18,234.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:15,Tuy Hoa,Phu Yen,Tuy Hoa (openweathermap),13.0833,109.3,1,6.42,7.5,16.14,6.44,1.19,303.86,1.99,32.53,61.0,1004.0,3.91,128.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:14,Quang Ngai,Quang Ngai,Quang Ngai (openweathermap),15.1194,108.7922,1,1.08,1.15,26.83,0.75,0.15,130.7,0.35,30.85,74.0,1003.0,3.21,114.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:13,Tam Ky,Quang Nam,Tam Ky (openweathermap),15.5736,108.4736,1,0.55,0.56,25.76,0.63,0.08,110.62,0.21,31.5,67.0,1003.0,3.3,88.0,10000.0,Clouds,openweathermap,
2025-06-15 16:01:12,Hoi An,Quang Nam,Hoi An (openweathermap),15.8801,108.338,1,0.65,0.7,19.29,0.77,0.11,108.49,0.22,35.0,69.0,1003.0,4.15,92.0,10000.0,Clouds,openweathermap,
