timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-23 09:48:26,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,4.51,5.5,28.67,5.65,2.52,224.3,1.86,30.66,61.0,1005.0,5.83,247.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:25,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,2.26,3.4,34.09,2.45,0.49,131.45,0.97,29.18,76.0,1006.0,3.63,262.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:24,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,1,3.07,4.11,30.5,3.92,0.8,177.1,1.55,30.02,73.0,1006.0,4.27,263.0,6533.0,Clouds,openweathermap,
2025-06-23 09:48:22,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,1,5.46,6.61,24.98,7.63,2.22,268.76,2.47,30.49,67.0,1005.0,6.58,263.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:21,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,0.95,2.48,37.38,0.21,0.09,77.61,0.01,26.85,83.0,1007.0,6.79,287.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:20,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,1.52,4.88,36.65,0.24,0.11,78.25,0.02,28.0,75.0,1007.0,9.02,276.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:18,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,0.86,2.07,35.55,0.16,0.06,74.83,0.0,28.93,65.0,1006.0,5.81,277.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:17,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,3.95,4.98,49.4,0.24,0.1,117.88,0.06,28.34,74.0,1007.0,3.78,282.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:16,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,5.52,9.24,47.52,0.32,0.13,118.2,0.18,29.18,70.0,1007.0,6.45,286.0,10000.0,Clouds,openweathermap,
2025-06-23 09:48:15,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,4.05,7.51,42.37,0.67,0.2,107.75,0.31,28.62,74.0,1007.0,5.7,284.0,10000.0,Clouds,openweathermap,
