timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-30 13:06:44,Hai Phong,Hai Phong,Hai Phong (openweathermap),20.8449,106.6881,3,37.71,41.74,82.02,2.65,3.74,310.61,4.24,26.39,77.0,1002.0,4.04,120.0,10000.0,Clouds,openweathermap,
2025-06-30 13:06:43,Can Tho,Can Tho,Can Tho (openweathermap),10.0452,105.7469,1,1.08,1.88,37.34,0.47,0.16,95.98,0.27,33.28,57.0,1006.0,7.02,270.0,10000.0,Clouds,openweathermap,
2025-06-30 13:06:41,Da Nang,Da Nang,Da Nang (openweathermap),16.0544,108.2022,1,0.9,1.02,18.84,0.85,0.11,109.06,0.16,31.87,63.0,1003.0,4.48,35.0,10000.0,Clouds,openweathermap,
2025-06-30 13:06:40,Hanoi,Hanoi,Hanoi (openweathermap),21.0285,105.8542,2,13.9,15.36,43.03,1.93,1.53,229.19,2.38,27.56,82.0,1001.0,3.38,130.0,10000.0,Clouds,openweathermap,
2025-06-30 13:06:39,Ho Chi Minh City,Ho Chi Minh,Ho Chi Minh City (openweathermap),10.8231,106.6297,2,11.64,12.64,43.97,2.7,1.55,199.2,1.41,33.6,56.0,1005.0,3.58,290.0,10000.0,Clouds,openweathermap,
2025-06-30 13:06:36,Can Tho,Can Tho,Can Tho (waqi),10.0452,105.7469,25,14.0,25.0,11.0,33.0,,9.0,,,,,,,,,waqi,success
2025-06-30 13:06:36,Da Nang,Da Nang,Da Nang (waqi),16.0544,108.2022,114,85.0,114.0,,,,,,,,,,,,,waqi,success
2025-06-30 13:06:36,Hai Phong,Hai Phong,Hai Phong (waqi),20.8449,106.6881,35,34.0,35.0,,,23.0,,,,,,,,,,waqi,success
2025-06-30 13:06:36,Hanoi,Hanoi,Hanoi (waqi),21.0285,105.8542,37,32.0,37.0,18.0,23.0,10.0,7.0,,,,,,,,,waqi,success
2025-06-30 13:06:36,Ho Chi Minh City,Ho Chi Minh,Ho Chi Minh City (waqi),10.8231,106.6297,28,28.0,28.0,24.0,1.0,2.0,3.0,,,,,,,,,waqi,success
