timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-16 13:01:16,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,2,14.98,17.28,19.97,12.45,5.77,530.68,2.93,35.35,47.0,1007.0,2.4,357.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:15,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,2,12.5,16.08,38.9,7.59,2.06,426.01,3.62,34.34,53.0,1007.0,2.36,309.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:13,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,2,14.35,16.94,33.4,8.49,1.79,492.19,2.69,34.7,53.0,1007.0,1.09,300.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:12,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,20.91,23.23,21.62,15.45,3.74,685.34,2.71,34.86,62.0,1007.0,2.06,350.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:11,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,4.3,4.99,42.64,0.26,0.11,129.98,0.04,31.75,70.0,1008.0,4.63,260.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:10,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,4.28,4.75,45.88,0.22,0.06,139.16,0.02,31.7,65.0,1008.0,5.22,243.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:08,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,3.12,3.37,44.59,0.23,0.09,130.26,0.02,35.33,45.0,1007.0,1.94,312.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:07,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,3.38,3.78,52.45,0.36,0.09,146.18,0.0,34.01,50.0,1008.0,5.07,284.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:06,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,3.82,4.61,52.3,0.67,0.22,160.25,0.45,32.34,58.0,1008.0,3.74,283.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:04,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,4.05,5.14,48.25,1.47,0.45,174.87,0.85,33.75,54.0,1007.0,4.11,296.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:03,Tra Vinh,Tra Vinh,Tra Vinh (openweathermap),9.9514,106.3431,1,7.96,10.97,48.44,4.66,1.52,279.59,2.71,33.92,54.0,1007.0,3.01,291.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:02,Vinh Long,Vinh Long,Vinh Long (openweathermap),10.2397,105.9722,1,5.3,6.67,37.38,3.39,0.87,231.47,1.52,33.66,58.0,1007.0,2.63,295.0,10000.0,Clouds,openweathermap,
2025-06-16 13:01:01,Sa Dec,Dong Thap,Sa Dec (openweathermap),10.2922,105.7592,1,1.7,1.96,36.63,1.3,0.27,134.76,0.47,33.97,58.0,1007.0,2.65,284.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:59,Cao Lanh,Dong Thap,Cao Lanh (openweathermap),10.4592,105.6325,1,1.98,2.24,36.8,1.42,0.31,144.77,0.55,34.1,55.0,1007.0,2.13,281.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:58,Tuy Hoa,Phu Yen,Tuy Hoa (openweathermap),13.0833,109.3,1,8.06,9.44,15.23,5.86,1.18,341.04,1.36,34.45,52.0,1006.0,5.74,141.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:57,Quang Ngai,Quang Ngai,Quang Ngai (openweathermap),15.1194,108.7922,1,1.34,1.55,21.16,1.62,0.31,129.8,0.56,32.91,63.0,1005.0,3.14,99.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:55,Tam Ky,Quang Nam,Tam Ky (openweathermap),15.5736,108.4736,1,1.07,1.15,28.22,0.8,0.11,100.57,0.27,32.07,66.0,1005.0,3.96,63.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:54,Hoi An,Quang Nam,Hoi An (openweathermap),15.8801,108.338,1,1.29,1.52,19.93,1.34,0.23,113.42,0.4,35.0,68.0,1005.0,5.12,101.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:53,Dong Ha,Quang Tri,Dong Ha (openweathermap),16.8167,107.1,1,1.61,1.73,30.45,0.52,0.13,116.18,0.39,34.0,59.0,1005.0,2.49,241.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:52,Dong Hoi,Quang Binh,Dong Hoi (openweathermap),17.4833,106.6,1,6.28,6.49,37.75,0.67,0.18,148.28,0.81,33.07,61.0,1005.0,4.28,220.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:50,Thanh Hoa,Thanh Hoa,Thanh Hoa (openweathermap),19.8067,105.7851,1,8.51,8.74,35.96,0.56,0.11,178.69,0.53,33.17,60.0,1003.0,3.49,146.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:49,Viet Tri,Phu Tho,Viet Tri (openweathermap),21.3227,105.4024,1,3.69,4.44,18.74,2.35,0.47,198.75,1.61,28.32,88.0,1004.0,1.03,210.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:48,Uong Bi,Quang Ninh,Uong Bi (openweathermap),21.0358,106.7733,3,37.48,41.52,67.79,7.36,5.97,364.68,5.27,30.95,68.0,1003.0,4.01,144.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:46,Hung Yen,Hung Yen,Hung Yen (openweathermap),20.6464,106.0511,2,20.34,21.64,57.0,2.2,2.08,234.33,2.78,32.79,61.0,1003.0,1.44,247.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:45,Hai Duong,Hai Duong,Hai Duong (openweathermap),20.9373,106.3145,3,37.53,39.95,80.25,4.05,4.21,331.28,5.13,32.62,64.0,1003.0,3.32,139.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:44,Bac Ninh,Bac Ninh,Bac Ninh (openweathermap),21.1861,106.0763,2,19.95,21.48,51.87,3.1,2.22,255.95,3.1,26.03,73.0,1003.0,1.95,147.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:43,Ha Long,Quang Ninh,Ha Long (openweathermap),20.95,107.0833,3,37.22,41.07,79.14,1.44,1.77,255.49,2.66,32.17,64.0,1004.0,3.7,165.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:41,Ninh Binh,Ninh Binh,Ninh Binh (openweathermap),20.2506,105.9756,1,9.74,10.07,44.72,0.68,0.37,167.44,0.95,33.41,56.0,1003.0,1.23,176.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:40,Nam Dinh,Nam Dinh,Nam Dinh (openweathermap),20.4389,106.1621,2,14.36,15.24,50.48,1.55,1.33,198.02,1.97,32.84,61.0,1003.0,1.52,166.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:39,Thai Nguyen,Thai Nguyen,Thai Nguyen (openweathermap),21.5944,105.8487,1,6.12,7.25,20.68,3.85,0.86,238.93,2.17,29.08,82.0,1004.0,2.81,113.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:37,Phan Thiet,Binh Thuan,Phan Thiet (openweathermap),10.9289,108.1022,2,12.12,13.1,45.62,5.79,0.84,332.38,0.35,31.93,69.0,1007.0,4.22,146.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:36,Dalat,Lam Dong,Dalat (openweathermap),11.9404,108.4583,1,9.08,9.94,26.83,8.44,2.47,263.34,0.73,23.34,81.0,1011.0,0.51,113.0,4465.0,Rain,openweathermap,
2025-06-16 13:00:35,Pleiku,Gia Lai,Pleiku (openweathermap),13.9833,108.0,1,0.65,0.7,20.97,0.6,0.06,96.27,0.11,27.6,68.0,1008.0,3.27,255.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:34,Rach Gia,Kien Giang,Rach Gia (openweathermap),10.0128,105.08,1,4.41,5.37,50.39,0.14,0.04,150.63,0.01,30.06,71.0,1008.0,5.87,257.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:32,Vinh,Nghe An,Vinh (openweathermap),18.6699,105.6816,2,16.78,17.19,41.14,1.12,0.27,237.83,1.13,31.48,68.0,1004.0,0.43,240.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:31,My Tho,Tien Giang,My Tho (openweathermap),10.36,106.3597,2,12.5,16.08,38.9,7.59,2.06,426.01,3.62,34.53,53.0,1007.0,1.74,298.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:30,Long Xuyen,An Giang,Long Xuyen (openweathermap),10.3861,105.4348,1,2.46,2.88,40.56,0.92,0.2,137.78,0.32,34.12,55.0,1007.0,2.23,281.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:28,Thu Dau Mot,Binh Duong,Thu Dau Mot (openweathermap),10.9804,106.6519,2,20.91,23.23,21.62,15.45,3.74,685.34,2.71,34.01,55.0,1007.0,2.06,350.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:27,Vung Tau,Ba Ria Vung Tau,Vung Tau (openweathermap),10.4113,107.1364,2,11.94,13.37,40.82,7.18,1.27,414.09,1.27,32.85,63.0,1007.0,1.76,207.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:26,Quy Nhon,Binh Dinh,Quy Nhon (openweathermap),13.7563,109.2297,1,0.77,0.99,24.24,1.24,0.24,108.41,0.37,31.35,68.0,1006.0,7.33,139.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:25,Buon Ma Thuot,Dak Lak,Buon Ma Thuot (openweathermap),12.6667,108.05,1,1.6,1.84,24.81,0.98,0.18,126.74,0.38,31.65,57.0,1008.0,2.09,315.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:23,Nha Trang,Khanh Hoa,Nha Trang (openweathermap),12.2388,109.1967,2,17.14,19.61,31.51,5.68,1.42,336.73,2.21,33.02,66.0,1007.0,3.57,144.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:22,Hue,Thua Thien Hue,Hue (openweathermap),16.4637,107.5909,1,1.14,1.28,26.09,0.52,0.16,110.68,0.31,35.05,52.0,1005.0,3.6,60.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:21,Bien Hoa,Dong Nai,Bien Hoa (openweathermap),10.946,106.8234,2,22.45,24.6,22.57,17.38,3.73,719.79,2.5,35.05,56.0,1007.0,2.9,348.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:19,Hai Phong,Hai Phong,Hai Phong (openweathermap),20.8449,106.6881,3,38.61,41.81,82.65,2.66,3.03,295.48,3.95,30.97,79.0,1003.0,2.57,190.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:18,Can Tho,Can Tho,Can Tho (openweathermap),10.0452,105.7469,1,1.43,1.69,36.46,1.18,0.24,124.75,0.39,34.01,66.0,1008.0,2.57,280.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:17,Da Nang,Da Nang,Da Nang (openweathermap),16.0544,108.2022,1,1.43,1.74,17.11,1.62,0.3,120.48,0.49,35.0,59.0,1005.0,2.06,180.0,10000.0,Clouds,openweathermap,
2025-06-16 13:00:16,Hanoi,Hanoi,Hanoi (openweathermap),21.0285,105.8542,2,12.1,13.15,38.41,2.39,1.28,220.62,2.11,25.98,77.0,1004.0,2.07,224.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:15,Ho Chi Minh City,Ho Chi Minh,Ho Chi Minh City (openweathermap),10.8231,106.6297,2,20.91,23.23,21.62,15.45,3.74,685.34,2.71,34.03,55.0,1007.0,2.06,350.0,10000.0,Rain,openweathermap,
2025-06-16 13:00:12,Tay Ninh,Tay Ninh,Tay Ninh (waqi),11.31,106.0983,23,9.0,23.0,,20.0,,,,,,,,,,,waqi,success
2025-06-16 13:00:11,Bac Lieu,Bac Lieu,Bac Lieu (waqi),9.2847,105.7244,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Ben Tre,Ben Tre,Ben Tre (waqi),10.2431,106.3756,3,3.0,3.0,5.0,3.0,24.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Ca Mau,Ca Mau,Ca Mau (waqi),9.1767,105.1525,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Chau Doc,An Giang,Chau Doc (waqi),10.7011,105.1119,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Di An,Binh Duong,Di An (waqi),10.9069,106.7722,23,9.0,23.0,,20.0,,,,,,,,,,,waqi,success
2025-06-16 13:00:11,Ha Tien,Kien Giang,Ha Tien (waqi),10.3831,104.4881,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Phu Quoc,Kien Giang,Phu Quoc (waqi),10.2897,103.984,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Soc Trang,Soc Trang,Soc Trang (waqi),9.6025,105.9803,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:11,Tan An,Long An,Tan An (waqi),10.5439,106.4108,23,9.0,23.0,,20.0,,,,,,,,,,,waqi,success
2025-06-16 13:00:10,Cao Lanh,Dong Thap,Cao Lanh (waqi),10.4592,105.6325,3,3.0,3.0,5.0,3.0,24.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Dong Ha,Quang Tri,Dong Ha (waqi),16.8167,107.1,6,6.0,6.0,3.0,7.0,32.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Dong Hoi,Quang Binh,Dong Hoi (waqi),17.4833,106.6,6,6.0,6.0,3.0,7.0,32.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Hoi An,Quang Nam,Hoi An (waqi),15.8801,108.338,49,23.0,49.0,,,,,,,,,,,,,waqi,success
2025-06-16 13:00:10,Quang Ngai,Quang Ngai,Quang Ngai (waqi),15.1194,108.7922,49,23.0,49.0,,,,,,,,,,,,,waqi,success
2025-06-16 13:00:10,Sa Dec,Dong Thap,Sa Dec (waqi),10.2922,105.7592,3,3.0,3.0,5.0,3.0,24.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Tam Ky,Quang Nam,Tam Ky (waqi),15.5736,108.4736,49,23.0,49.0,,,,,,,,,,,,,waqi,success
2025-06-16 13:00:10,Tra Vinh,Tra Vinh,Tra Vinh (waqi),9.9514,106.3431,9,9.0,5.0,25.0,7.0,8.0,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Tuy Hoa,Phu Yen,Tuy Hoa (waqi),13.0833,109.3,23,23.0,16.0,19.0,5.0,,1.0,,,,,,,,,waqi,success
2025-06-16 13:00:10,Vinh Long,Vinh Long,Vinh Long (waqi),10.2397,105.9722,3,3.0,3.0,5.0,3.0,24.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Bac Ninh,Bac Ninh,Bac Ninh (waqi),21.1861,106.0763,12,12.0,9.0,26.0,,61.0,1.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Ha Long,Quang Ninh,Ha Long (waqi),20.95,107.0833,22,17.0,22.0,11.0,2.0,20.0,1.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Hai Duong,Hai Duong,Hai Duong (waqi),20.9373,106.3145,30,30.0,16.0,29.0,36.0,29.0,19.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Hung Yen,Hung Yen,Hung Yen (waqi),20.6464,106.0511,30,30.0,16.0,29.0,36.0,29.0,19.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Nam Dinh,Nam Dinh,Nam Dinh (waqi),20.4389,106.1621,10,10.0,6.0,1.0,16.0,16.0,30.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Ninh Binh,Ninh Binh,Ninh Binh (waqi),20.2506,105.9756,10,10.0,6.0,1.0,16.0,16.0,30.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Thai Nguyen,Thai Nguyen,Thai Nguyen (waqi),21.5944,105.8487,94,94.0,40.0,,,1.0,4.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Thanh Hoa,Thanh Hoa,Thanh Hoa (waqi),19.8067,105.7851,10,10.0,6.0,1.0,16.0,16.0,30.0,,,,,,,,,waqi,success
2025-06-16 13:00:09,Uong Bi,Quang Ninh,Uong Bi (waqi),21.0358,106.7733,38,38.0,32.0,8.0,14.0,12.0,,,,,,,,,,waqi,success
2025-06-16 13:00:09,Viet Tri,Phu Tho,Viet Tri (waqi),21.3227,105.4024,51,,51.0,2.9,,1.6,,,,,,,,,,waqi,success
2025-06-16 13:00:08,Dalat,Lam Dong,Dalat (waqi),11.9404,108.4583,23,23.0,16.0,19.0,5.0,,1.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Long Xuyen,An Giang,Long Xuyen (waqi),10.3861,105.4348,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,My Tho,Tien Giang,My Tho (waqi),10.36,106.3597,3,3.0,3.0,5.0,3.0,24.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Phan Thiet,Binh Thuan,Phan Thiet (waqi),10.9289,108.1022,50,50.0,45.0,30.0,12.0,9.0,6.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Pleiku,Gia Lai,Pleiku (waqi),13.9833,108.0,4,4.0,4.0,7.0,,31.0,2.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Quy Nhon,Binh Dinh,Quy Nhon (waqi),13.7563,109.2297,10,10.0,10.0,11.0,,22.0,2.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Rach Gia,Kien Giang,Rach Gia (waqi),10.0128,105.08,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Thu Dau Mot,Binh Duong,Thu Dau Mot (waqi),10.9804,106.6519,23,9.0,23.0,,20.0,,,,,,,,,,,waqi,success
2025-06-16 13:00:08,Vinh,Nghe An,Vinh (waqi),18.6699,105.6816,19,,19.0,2.0,60.0,72.0,8.0,,,,,,,,,waqi,success
2025-06-16 13:00:08,Vung Tau,Ba Ria Vung Tau,Vung Tau (waqi),10.4113,107.1364,30,30.0,24.0,3.0,3.0,4.0,3.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Bien Hoa,Dong Nai,Bien Hoa (waqi),10.946,106.8234,40,39.0,40.0,12.0,5.0,2.0,7.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Buon Ma Thuot,Dak Lak,Buon Ma Thuot (waqi),12.6667,108.05,23,23.0,16.0,19.0,5.0,,1.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Can Tho,Can Tho,Can Tho (waqi),10.0452,105.7469,21,20.0,21.0,11.0,33.0,,10.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Da Nang,Da Nang,Da Nang (waqi),16.0544,108.2022,49,23.0,49.0,,,,,,,,,,,,,waqi,success
2025-06-16 13:00:07,Hai Phong,Hai Phong,Hai Phong (waqi),20.8449,106.6881,30,30.0,16.0,29.0,36.0,29.0,19.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Hanoi,Hanoi,Hanoi (waqi),21.0285,105.8542,70,70.0,56.0,19.0,20.0,,8.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Ho Chi Minh City,Ho Chi Minh,Ho Chi Minh City (waqi),10.8231,106.6297,23,9.0,23.0,,20.0,,,,,,,,,,,waqi,success
2025-06-16 13:00:07,Hue,Thua Thien Hue,Hue (waqi),16.4637,107.5909,6,6.0,6.0,3.0,7.0,32.0,5.0,,,,,,,,,waqi,success
2025-06-16 13:00:07,Nha Trang,Khanh Hoa,Nha Trang (waqi),12.2388,109.1967,23,23.0,16.0,19.0,5.0,,1.0,,,,,,,,,waqi,success
