timestamp,city,province,city_source,latitude,longitude,aqi,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,weather_condition,source,status
2025-06-23 10:01:53,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,9.33,11.29,18.11,8.41,3.7,363.24,2.31,30.13,63.0,1009.0,7.52,262.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:51,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,1,7.56,10.29,34.54,3.63,1.25,243.35,2.03,30.33,67.0,1009.0,4.22,259.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:50,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,1,9.46,11.68,30.55,4.6,1.31,297.05,2.16,30.14,68.0,1009.0,4.88,264.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:49,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,2,14.22,16.73,20.77,8.73,3.02,451.84,3.0,30.29,67.0,1009.0,4.69,273.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:47,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,0.75,2.01,35.47,0.21,0.09,77.08,0.03,26.53,84.0,1010.0,6.94,298.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:46,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,0.81,1.86,36.47,0.15,0.07,77.75,0.04,27.65,76.0,1010.0,7.46,284.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:45,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,1.25,1.72,36.18,0.18,0.07,79.68,0.0,29.51,68.0,1010.0,5.3,282.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:43,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,3.39,4.97,47.0,0.26,0.13,109.22,0.1,29.17,70.0,1010.0,3.64,276.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:42,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,2.97,4.91,45.3,0.2,0.1,101.67,0.09,29.4,71.0,1010.0,5.52,267.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:41,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,2.19,4.36,40.33,0.73,0.3,105.89,0.45,29.58,76.0,1010.0,5.3,274.0,10000.0,Rain,openweathermap,
2025-06-23 10:01:39,Tra Vinh,Tra Vinh,Tra Vinh (openweathermap),9.9514,106.3431,1,4.73,7.54,39.38,2.02,0.86,166.87,1.3,29.58,74.0,1010.0,4.69,268.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:38,Vinh Long,Vinh Long,Vinh Long (openweathermap),10.2397,105.9722,1,3.78,5.41,35.17,2.08,0.7,157.18,1.16,29.9,80.0,1010.0,6.24,265.0,10000.0,Rain,openweathermap,
2025-06-23 10:01:37,Sa Dec,Dong Thap,Sa Dec (openweathermap),10.2922,105.7592,1,1.9,2.97,35.48,1.3,0.43,114.19,0.73,29.89,82.0,1010.0,7.22,267.0,10000.0,Rain,openweathermap,
2025-06-23 10:01:35,Cao Lanh,Dong Thap,Cao Lanh (openweathermap),10.4592,105.6325,1,2.11,2.9,34.4,1.37,0.38,118.99,0.69,30.18,75.0,1010.0,6.5,271.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:34,Tuy Hoa,Phu Yen,Tuy Hoa (openweathermap),13.0833,109.3,1,1.6,2.11,15.63,3.14,0.57,156.26,0.61,32.85,50.0,1007.0,4.95,271.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:33,Quang Ngai,Quang Ngai,Quang Ngai (openweathermap),15.1194,108.7922,1,2.29,2.49,15.95,1.99,0.27,235.37,0.34,31.96,62.0,1006.0,0.94,115.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:31,Tam Ky,Quang Nam,Tam Ky (openweathermap),15.5736,108.4736,1,2.31,2.43,21.4,1.47,0.17,210.7,0.28,31.31,65.0,1006.0,1.56,316.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:30,Hoi An,Quang Nam,Hoi An (openweathermap),15.8801,108.338,1,4.55,4.9,15.71,2.71,0.37,255.72,0.69,31.26,68.0,1007.0,0.3,176.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:29,Dong Ha,Quang Tri,Dong Ha (openweathermap),16.8167,107.1,1,1.81,2.05,18.98,0.94,0.18,214.03,0.36,31.58,65.0,1006.0,2.43,245.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:27,Dong Hoi,Quang Binh,Dong Hoi (openweathermap),17.4833,106.6,1,2.44,2.63,21.61,1.01,0.13,192.15,0.45,31.58,61.0,1006.0,0.74,167.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:26,Thanh Hoa,Thanh Hoa,Thanh Hoa (openweathermap),19.8067,105.7851,1,3.57,3.93,25.76,0.86,0.13,182.64,0.53,30.33,75.0,1005.0,1.47,275.0,10000.0,Clouds,openweathermap,
2025-06-23 10:01:25,Viet Tri,Phu Tho,Viet Tri (openweathermap),21.3227,105.4024,1,7.82,8.73,24.99,1.34,0.36,268.67,1.21,28.6,82.0,1006.0,0.69,285.0,10000.0,Clouds,openweathermap,
