timestamp,city,province,city_source,latitude,longitude,aqi,aqi_cn,pm25,pm10,o3,no2,so2,co,nh3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,uv_index,weather_condition,source,status
2025-06-15 14:18:39,Tay Ninh,Tay Ninh,Tay Ninh (openweathermap),11.31,106.0983,1,,5.27,6.16,40.08,5.4,2.06,268.24,1.55,34.38,53.0,1006.0,3.56,275.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:37,Ben Tre,Ben Tre,Ben Tre (openweathermap),10.2431,106.3756,2,,10.69,14.32,56.46,3.78,1.41,266.76,2.98,34.48,55.0,1006.0,2.4,281.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:36,Tan An,Long An,Tan An (openweathermap),10.5439,106.4108,1,,7.27,9.57,46.61,4.06,1.18,256.09,2.38,33.0,63.0,1006.0,2.88,232.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:35,Di An,Binh Duong,Di An (openweathermap),10.9069,106.7722,1,,7.79,9.36,35.28,7.25,2.13,346.82,3.06,33.75,65.0,1006.0,4.63,280.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:33,Phu Quoc,Kien Giang,Phu Quoc (openweathermap),10.2897,103.984,1,,6.05,8.82,59.25,0.24,0.15,150.16,0.0,31.75,70.0,1008.0,3.09,240.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:32,Ha Tien,Kien Giang,Ha Tien (openweathermap),10.3831,104.4881,1,,4.87,7.56,59.64,0.19,0.1,145.07,0.0,30.9,68.0,1007.0,6.11,226.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:31,Chau Doc,An Giang,Chau Doc (openweathermap),10.7011,105.1119,1,,3.75,5.85,54.59,0.14,0.07,132.32,0.0,34.33,51.0,1006.0,4.17,255.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:30,Ca Mau,Ca Mau,Ca Mau (openweathermap),9.1767,105.1525,1,,2.83,5.72,47.84,0.14,0.12,105.35,0.0,34.2,49.0,1007.0,3.96,272.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:28,Bac Lieu,Bac Lieu,Bac Lieu (openweathermap),9.2847,105.7244,1,,2.36,4.9,49.62,0.22,0.11,111.44,0.09,31.33,65.0,1007.0,4.12,188.0,10000.0,,Clouds,openweathermap,
2025-06-15 14:18:27,Soc Trang,Soc Trang,Soc Trang (openweathermap),9.6025,105.9803,1,,3.6,6.04,51.19,0.78,0.31,137.39,0.57,33.03,59.0,1006.0,2.94,247.0,10000.0,,Clouds,openweathermap,
